Name,Price,Date,Parked_At
greensec.com,113,USD,2021-11-03,DropCatch
buildventures.com,118,USD,2021-11-03,NameJet
homeinfinity.com,107,USD,2021-11-03,GoDaddy
apideveloper.com,154,USD,2021-11-03,GoDaddy
olsx.com,147,USD,2021-11-03,GoDaddy
website4u.com,197,USD,2021-11-03,DropCatch
ukrha.org,197,USD,2021-11-03,GoDaddy
betterbit.com,171,USD,2021-11-03,DropCatch
ultrahardware.com,179,USD,2021-11-03,GoDaddy
enerfuel.com,033,USD,2021-11-03,GoDaddy
cvmp01.site,031,USD,2021-11-03,Dynadot
roclab.com,011,USD,2021-11-03,GoDaddy
vp888.com,018,USD,2021-11-03,GoDaddy
consent.ai,014,USD,2021-11-03,Whois.ai
dao.cash,027,USD,2021-11-03,Sav.com
ngmdomain.com,067,USD,2021-11-03,GoDaddy
bangkokmodels.com,056,USD,2021-11-03,GoDaddy
brewer.io,040,USD,2021-11-03,Park.io
